UID          PID    PPID  C STIME TTY          TIME CMD
systemd+     685       1  0 03:05 ?        00:00:00 /lib/systemd/systemd-resolved
avahi        707       1  0 03:05 ?        00:00:00 avahi-daemon: running [alex-server.local]
root         708       1  0 03:05 ?        00:00:00 /usr/sbin/cron -f -P
message+     710       1  0 03:05 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         716       1  0 03:05 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         717       1  0 03:05 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         718       1  0 03:05 ?        00:00:00 /usr/libexec/polkitd --no-debug
syslog       719       1  0 03:05 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         721       1  0 03:05 ?        00:00:01 /usr/lib/snapd/snapd
root         725       1  0 03:05 ?        00:00:00 /lib/systemd/systemd-logind
root         729       1  0 03:05 ?        00:00:00 /usr/libexec/udisks2/udisksd
avahi        732     707  0 03:05 ?        00:00:00 avahi-daemon: chroot helper
root         740       1  0 03:05 ?        00:00:00 /usr/sbin/ModemManager
root         742       1  0 03:05 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 ttyAMA0 vt220
root         767       1  0 03:05 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         769       1  0 03:05 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         934       2  0 03:05 ?        00:00:00 [kworker/3:3-events]
root         984       1  0 03:05 tty1     00:00:00 /bin/login -p --
alexami+    1081       1  0 03:05 ?        00:00:00 /lib/systemd/systemd --user
alexami+    1082    1081  0 03:05 ?        00:00:00 (sd-pam)
alexami+    1088     984  0 03:05 tty1     00:00:00 -bash
root        1131       2  0 03:10 ?        00:00:00 [kworker/2:1-events]
root        1140       1  0 03:13 tty6     00:00:00 /sbin/agetty -o -p -- \u --noclear tty6 linux
root        1141       1  0 03:13 tty5     00:00:00 /sbin/agetty -o -p -- \u --noclear tty5 linux
root        1142       1  0 03:13 tty2     00:00:00 /sbin/agetty -o -p -- \u --noclear tty2 linux
root        1143       1  0 03:13 tty3     00:00:00 /sbin/agetty -o -p -- \u --noclear tty3 linux
root        1144       1  0 03:13 tty4     00:00:00 /sbin/agetty -o -p -- \u --noclear tty4 linux
root        1245       2  0 03:20 ?        00:00:00 [kworker/5:0]
root        1256       2  0 03:20 ?        00:00:00 [kworker/4:1-cgroup_destroy]
root        1261       2  0 03:21 ?        00:00:00 [kworker/0:1-events]
alexami+    1358    1081  0 03:25 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1448       2  0 03:25 ?        00:00:00 [kworker/2:0-cgroup_destroy]
root        1450       2  0 03:25 ?        00:00:00 [kworker/3:0-events]
root        1454       2  0 03:26 ?        00:00:00 [kworker/0:0-events]
root        1794       2  0 03:29 ?        00:00:00 [kworker/4:0]
alexami+    1800    1088  0 03:30 tty1     00:00:00 ps -ef
